Debtor,Tuition fees up to date,Scholarship holder,Admission grade,Previous qualification (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Mother's qualification,Father's qualification,Target,Mother_qual_code,Father_qual_code,Mother_qual_label,Father_qual_label
No,Yes,No,106.8,110.0,5,8,1,10.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,121.6,129.0,5,10,0,0.0,2,37,Enrolled,2,37,Bachelor's Degree,Basic Education - 1st Cycle (4th/5th)
No,No,No,120.0,110.0,5,10,2,10.5,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,160.6,170.0,0,0,0,0.0,38,19,Graduate,38,19,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 3rd Cycle
Yes,No,Yes,130.0,110.0,6,6,0,0.0,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,110.0,110.0,6,12,0,0.0,34,34,Dropout,34,34,Unknown,Unknown
No,Yes,No,110.0,133.1,6,8,0,0.0,19,37,Dropout,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,145.8,133.1,6,15,5,13.333333333333334,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,130.2,126.0,0,0,0,0.0,10,10,Dropout,10,10,11th Year - Not Completed,11th Year - Not Completed
No,Yes,Yes,122.3,137.0,6,7,6,13.571428571428571,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,125.4,117.0,6,6,6,12.833333333333334,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,130.0,100.0,5,6,4,10.25,37,19,Dropout,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,150.0,120.0,6,6,0,0.0,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
Yes,Yes,No,116.9,126.0,5,5,4,14.5,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,114.7,122.0,5,6,5,15.8,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,No,No,95.8,111.0,6,0,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,133.1,139.0,5,8,4,12.5,37,19,Enrolled,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,150.0,150.0,18,22,18,11.666666666666666,2,4,Graduate,2,4,Bachelor's Degree,Master's Degree
No,Yes,No,118.5,116.0,5,6,4,13.0,37,19,Graduate,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,131.1,130.0,7,8,7,12.12142857142857,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,Yes,150.3,150.0,11,15,9,14.22222222222222,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,120.5,132.0,6,17,4,12.5,3,19,Enrolled,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,105.6,108.0,5,7,5,12.166666666666666,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,125.3,133.1,6,0,0,0.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,131.0,120.0,6,6,6,12.666666666666666,37,19,Graduate,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,127.0,146.0,8,8,7,13.614285714285714,19,3,Graduate,19,3,Basic Education - 3rd Cycle,Higher Education - Degree
No,Yes,No,150.0,150.0,18,32,12,12.857142857142858,2,1,Graduate,2,1,Bachelor's Degree,Secondary Education - 12th Year
No,Yes,No,149.2,160.0,5,7,4,14.0,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,Yes,121.5,125.0,6,8,4,14.75,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,137.3,125.0,6,0,0,0.0,37,19,Dropout,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,119.6,122.0,6,8,6,13.625,3,1,Graduate,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,141.5,138.0,0,0,0,0.0,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,150.0,150.0,6,12,4,11.8,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,110.0,140.0,6,8,6,15.125,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,110.2,113.0,6,10,4,11.5,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,Yes,No,110.3,139.0,5,12,1,10.0,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,120.0,133.1,4,8,0,0.0,19,6,Dropout,19,6,Basic Education - 3rd Cycle,Incomplete Higher Education
No,Yes,No,114.2,118.0,5,9,3,10.333333333333334,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,140.0,140.0,5,9,0,0.0,1,19,Enrolled,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,132.8,144.0,6,9,4,12.0,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,121.5,125.0,6,6,6,13.833333333333334,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,Yes,No,127.2,131.0,17,19,13,12.153846153846152,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,128.2,131.0,6,7,6,14.0,12,12,Graduate,12,12,11th Year - Other,11th Year - Other
No,No,No,133.4,140.0,6,8,6,16.5,3,2,Enrolled,3,2,Higher Education - Degree,Bachelor's Degree
No,Yes,No,120.0,133.1,5,11,1,18.0,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,140.0,140.0,6,11,6,11.285714285714286,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,136.9,139.0,0,0,0,0.0,19,3,Graduate,19,3,Basic Education - 3rd Cycle,Higher Education - Degree
No,Yes,No,117.0,125.0,0,0,0,0.0,3,39,Enrolled,3,39,Higher Education - Degree,Technological Specialization Course
No,Yes,No,110.7,117.0,6,10,5,14.0,3,1,Enrolled,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,160.0,150.0,5,13,4,13.75,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,No,No,95.0,95.0,6,9,4,13.25,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,148.8,150.0,5,7,4,14.25,37,1,Graduate,37,1,Basic Education - 1st Cycle (4th/5th),Secondary Education - 12th Year
No,No,No,110.0,120.0,5,9,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,No,133.9,136.0,12,12,8,11.25,3,4,Dropout,3,4,Higher Education - Degree,Master's Degree
No,Yes,Yes,125.7,133.0,6,7,6,13.5,2,37,Graduate,2,37,Bachelor's Degree,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,116.6,125.0,6,8,5,12.666666666666666,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,141.0,127.0,6,6,6,15.166666666666666,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,130.0,130.0,6,6,6,13.166666666666666,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,Yes,No,130.0,130.0,12,20,10,11.8,19,1,Enrolled,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,115.8,127.0,5,10,4,11.5,19,1,Enrolled,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,140.0,140.0,6,6,6,14.5,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,126.1,125.0,6,10,5,13.4,37,3,Enrolled,37,3,Basic Education - 1st Cycle (4th/5th),Higher Education - Degree
Yes,No,No,137.5,135.0,0,0,0,0.0,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,120.8,132.0,5,8,4,10.8,38,19,Dropout,38,19,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 3rd Cycle
No,Yes,No,136.5,110.0,5,6,0,0.0,19,1,Dropout,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
Yes,No,No,122.0,130.0,10,23,6,11.428571428571429,1,37,Dropout,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.0,130.0,14,24,8,12.5,37,1,Dropout,37,1,Basic Education - 1st Cycle (4th/5th),Secondary Education - 12th Year
No,Yes,No,126.3,135.0,5,11,2,13.5,38,19,Enrolled,38,19,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 3rd Cycle
No,Yes,No,98.0,133.1,6,6,0,0.0,4,19,Dropout,4,19,Master's Degree,Basic Education - 3rd Cycle
No,Yes,Yes,121.0,135.0,5,8,5,12.75,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,124.2,128.0,6,17,3,11.333333333333334,19,38,Enrolled,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,130.0,140.0,6,8,0,0.0,1,3,Dropout,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,Yes,No,136.1,135.0,6,9,5,11.4,3,1,Enrolled,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,132.8,131.0,6,7,6,14.428571428571429,3,19,Graduate,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,126.3,131.0,7,9,7,12.492857142857144,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,111.5,100.0,8,10,4,11.5,1,37,Dropout,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,118.2,140.0,5,7,5,11.2,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,No,115.6,124.0,5,9,3,12.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,117.8,130.0,8,8,7,15.885714285714286,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
Yes,No,No,127.0,142.0,7,12,4,12.94,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,No,No,140.0,150.0,6,6,6,14.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,106.0,110.0,0,0,0,0.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
Yes,No,No,151.0,110.0,7,7,0,0.0,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,106.4,112.0,5,0,0,0.0,43,40,Dropout,43,40,Master's - 2nd cycle,Higher Education - Degree (1st cycle)
No,Yes,No,125.3,100.0,5,8,4,11.25,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.0,130.0,5,5,0,0.0,34,34,Dropout,34,34,Unknown,Unknown
No,No,No,116.0,133.1,6,13,4,11.25,34,34,Dropout,34,34,Unknown,Unknown
No,Yes,No,120.0,150.0,5,11,3,10.666666666666666,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,100.0,100.0,6,9,5,11.8,34,34,Graduate,34,34,Unknown,Unknown
No,Yes,No,118.5,130.0,10,19,8,11.625,34,37,Graduate,34,37,Unknown,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,118.9,129.0,6,11,0,0.0,34,30,Dropout,34,30,Unknown,8th Year of Schooling
No,Yes,Yes,119.3,127.0,6,8,4,10.25,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,135.8,140.0,15,16,15,10.8,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,Yes,130.0,130.0,12,15,11,12.545454545454543,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,129.8,133.1,7,7,7,13.571428571428571,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,150.0,140.0,6,0,0,0.0,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,111.9,133.1,5,5,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,150.1,120.0,6,9,6,14.77777777777778,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.0,133.1,3,4,0,0.0,1,37,Dropout,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,128.0,120.0,2,2,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,No,102.5,133.1,4,4,0,0.0,19,38,Dropout,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,No,No,102.5,133.1,5,10,0,0.0,19,38,Dropout,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,110.0,100.0,5,5,5,11.4,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,114.0,133.1,9,13,6,11.666666666666666,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,128.2,120.0,10,12,7,11.285714285714286,34,34,Dropout,34,34,Unknown,Unknown
No,Yes,Yes,116.5,128.0,6,12,4,11.5,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,149.3,172.0,5,5,5,16.0,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,134.1,146.0,6,6,6,12.5,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,126.6,135.0,5,7,4,12.0,38,37,Enrolled,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,120.0,160.0,5,11,0,0.0,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,133.5,150.0,5,10,5,13.0,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,110.0,130.0,18,27,13,13.714285714285714,1,3,Graduate,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,Yes,Yes,107.5,111.0,5,9,3,12.333333333333334,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,No,130.0,130.0,17,31,11,12.727272727272728,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,111.6,170.0,5,5,1,14.0,34,34,Dropout,34,34,Unknown,Unknown
No,No,No,101.0,133.1,5,0,0,0.0,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,108.3,100.0,6,8,5,11.4,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,128.2,120.0,5,5,0,0.0,34,34,Dropout,34,34,Unknown,Unknown
No,Yes,No,150.0,110.0,6,8,6,18.875,3,19,Graduate,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,142.8,133.1,6,12,0,0.0,34,34,Dropout,34,34,Unknown,Unknown
No,Yes,No,100.0,120.0,7,15,6,11.333333333333334,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,150.0,150.0,7,9,7,13.5,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,156.5,133.1,11,12,2,15.0,37,19,Graduate,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
Yes,No,No,98.6,120.0,5,10,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.0,130.0,9,9,9,14.22222222222222,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
Yes,No,No,118.1,130.0,0,0,0,0.0,1,38,Enrolled,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
Yes,No,No,120.0,100.0,7,14,4,12.0,1,3,Dropout,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,Yes,No,127.7,142.0,5,9,5,12.6,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,130.0,130.0,12,12,12,15.083333333333334,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,147.7,148.0,5,5,0,0.0,3,19,Dropout,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,170.0,170.0,6,8,6,14.5,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,110.2,110.0,6,6,6,14.5,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,146.4,166.0,5,12,3,10.0,19,37,Enrolled,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,121.0,135.0,5,0,0,0.0,12,19,Dropout,12,19,11th Year - Other,Basic Education - 3rd Cycle
No,Yes,No,129.9,133.0,5,5,5,11.6,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,132.0,133.1,6,10,4,11.75,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,125.9,121.0,6,0,0,0.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,165.7,159.0,0,0,0,0.0,3,3,Dropout,3,3,Higher Education - Degree,Higher Education - Degree
Yes,Yes,Yes,122.7,130.0,6,7,0,0.0,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
Yes,No,No,141.4,121.0,5,7,4,11.25,37,19,Dropout,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
Yes,Yes,No,156.4,133.1,6,9,5,11.571428571428571,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,148.5,146.0,5,7,4,10.0,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,140.0,140.0,6,11,5,13.833333333333334,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,131.7,125.0,6,6,4,12.75,38,37,Dropout,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,104.7,120.0,4,4,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,150.0,150.0,6,13,5,11.6,5,1,Enrolled,5,1,Doctorate,Secondary Education - 12th Year
No,No,No,110.0,110.0,5,5,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,129.1,120.0,6,6,4,11.25,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,No,No,120.0,133.1,6,0,0,0.0,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,127.0,133.1,6,6,6,14.333333333333334,3,19,Graduate,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
Yes,No,No,151.5,133.1,6,7,0,0.0,19,37,Dropout,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,126.8,130.0,23,23,20,13.5,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,140.8,160.0,6,8,6,12.666666666666666,19,38,Enrolled,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,125.6,128.0,7,7,7,12.444285714285714,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,127.8,140.0,5,7,3,10.666666666666666,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,120.0,120.0,0,0,0,0.0,3,3,Enrolled,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,Yes,131.3,140.0,6,6,6,12.666666666666666,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,155.7,120.0,5,5,5,13.2,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,128.5,130.0,12,20,10,12.7,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,170.0,100.0,5,6,5,14.833333333333334,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,No,100.0,133.1,10,10,4,11.5,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,107.2,110.0,6,0,0,0.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,139.3,147.0,5,0,0,0.0,19,1,Dropout,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,123.2,133.0,5,7,3,12.666666666666666,19,38,Enrolled,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,122.3,137.0,6,7,6,14.714285714285714,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,127.9,124.0,6,11,3,13.666666666666666,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,120.3,128.0,5,9,5,10.8,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,No,No,128.5,120.0,8,13,4,10.5,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,150.0,133.1,6,10,6,15.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
Yes,Yes,Yes,136.1,142.0,6,6,6,12.666666666666666,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,128.0,100.0,6,7,6,13.166666666666666,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,158.1,149.0,0,0,0,0.0,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,108.7,110.0,6,6,6,13.0,37,1,Graduate,37,1,Basic Education - 1st Cycle (4th/5th),Secondary Education - 12th Year
No,Yes,Yes,110.0,133.1,0,0,0,0.0,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
Yes,Yes,No,120.0,133.1,6,13,2,10.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,150.0,150.0,6,7,6,13.333333333333334,5,4,Graduate,5,4,Doctorate,Master's Degree
No,Yes,No,113.0,133.1,6,13,3,12.333333333333334,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,118.6,121.0,21,23,20,13.181818181818182,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,148.8,133.1,7,7,6,12.513333333333334,3,1,Graduate,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,120.3,122.0,6,0,0,0.0,38,37,Dropout,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,127.0,143.0,8,8,7,13.585714285714284,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,113.8,123.0,7,9,7,11.155555555555557,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,108.0,120.0,7,9,6,11.857142857142858,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,129.1,114.0,0,0,0,0.0,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,135.9,114.0,14,14,14,14.0,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,No,No,154.4,154.4,6,8,5,12.0,19,38,Dropout,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,190.0,190.0,7,15,4,11.575,3,2,Enrolled,3,2,Higher Education - Degree,Bachelor's Degree
No,Yes,No,132.5,136.0,7,8,7,13.198571428571428,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,163.3,163.3,6,10,6,13.5,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,122.5,126.0,6,6,6,13.333333333333334,1,3,Dropout,1,3,Secondary Education - 12th Year,Higher Education - Degree
